CHANNEL;OXYGEN AIR SAT;TIME ABS;TIME REL;
1;21.337;1635800760.9380298;73.01471090316772;
2;21.204;1635800761.5346334;73.61131453514099;
1;21.333;1635800762.3254986;74.40217971801758;
2;21.21;1635800762.9186711;74.995352268219;
1;21.34;1635800763.6287167;75.70539784431458;
2;21.226;1635800764.2207584;76.29743957519531;
1;21.34;1635800764.9323702;77.00905132293701;
2;21.219;1635800765.55994;77.63662123680115;
1;21.349;1635800766.254263;78.3309440612793;
2;21.224;1635800766.845877;78.92255806922913;
1;21.34;1635800767.5555553;79.63223648071289;
2;21.236;1635800768.1477091;80.2243902683258;
1;21.342;1635800768.8735855;80.95026659965515;
2;21.238;1635800769.4594476;81.53612875938416;
1;21.345;1635800770.185788;82.26246905326843;
2;21.239;1635800770.8007114;82.87739253044128;
1;21.342;1635800771.5141609;83.5908420085907;
2;21.242;1635804372.6677947;3684.744475841522;
1;21.344;1635804373.4538863;3685.530567407608;
2;21.242;1635804374.050556;3686.1272370815277;
1;21.342;1635804374.7779777;3686.854658842087;
2;21.248;1635804375.3784087;3687.4550898075104;
1;21.346;1635804376.1038702;3688.180551290512;
2;21.238;1635804376.7012932;3688.7779743671417;
1;21.337;1635804377.412349;3689.489030122757;
2;21.243;1635804378.003672;3690.0803530216217;
1;21.336;1635804378.7335958;3690.8102769851685;
2;21.226;1635804379.326761;3691.403442144394;
1;21.342;1635804380.0599098;3692.1365909576416;
2;21.212;1635804380.6537511;3692.7304322719574;
1;21.342;1635804381.365978;3693.442659139633;
2;21.21;1635804381.958002;3694.034683227539;
1;21.341;1635804382.6655312;3694.742212295532;
2;21.193;1635804383.264874;3695.341555118561;
1;21.345;1635804384.0380847;3696.114765882492;
2;21.197;1635804384.6397803;3696.716461420059;
1;21.339;1635804385.349373;3697.426054239273;
2;21.184;1635804385.941206;3698.0178871154785;
1;21.344;1635804386.6524436;3698.7291247844696;
2;21.194;1635804387.287188;3699.363869190216;
1;21.355;1635804387.9980776;3700.0747587680817;
2;21.241;1635804388.5988;3700.675481081009;
1;21.338;1635804389.3083873;3701.3850684165955;
2;21.241;1635804389.9027405;3701.9794216156006;
1;21.34;1635804390.6131864;3702.6898674964905;
2;21.219;1635804391.2113018;3703.287982940674;
1;21.346;1635804391.920552;3703.9972331523895;
2;21.206;1635804392.5160983;3704.5927793979645;
1;21.344;1635804393.2265131;3705.303194284439;
2;21.245;1635804393.8181145;3705.894795656204;
1;21.332;1635804394.527814;3706.604495048523;
2;21.231;1635804395.1299682;3707.2066493034363;
1;21.349;1635804395.8406308;3707.9173119068146;
2;21.228;1635804396.4415271;3708.5182082653046;
1;21.332;1635804397.1484313;3709.225112438202;
2;21.225;1635804397.7506351;3709.8273162841797;
1;21.342;1635804398.4696805;3710.546361684799;
2;21.222;1635804399.0711536;3711.147834777832;
1;21.339;1635804399.7800388;3711.856719970703;
2;21.211;1635804400.3771276;3712.453808784485;
1;21.347;1635804401.0843525;3713.161033630371;
2;21.197;1635804401.6784427;3713.7551238536835;
1;21.351;1635804402.4606194;3714.5373005867004;
2;21.208;1635804403.0635;3715.1401810646057;
1;21.336;1635804403.7733517;3715.8500328063965;
2;21.212;1635804404.3737721;3716.4504532814026;
1;21.346;1635804405.0821202;3717.158801317215;
2;21.205;1635804405.6841042;3717.760785341263;
1;21.345;1635804406.390986;3718.4676671028137;
2;21.19;1635804406.9921207;3719.068801879883;
1;21.342;1635804407.718868;3719.7955491542816;
2;21.184;1635804408.316434;3720.39311504364;
1;21.349;1635804409.0419197;3721.118600845337;
2;21.189;1635804409.639999;3721.7166800498962;
1;21.347;1635804410.3508549;3722.427536010742;
2;21.207;1635804410.9482994;3723.024980545044;
1;21.351;1635804411.6590762;3723.7357573509216;
2;21.254;1635804412.2598872;3724.3365683555603;
1;21.349;1635804412.968322;3725.0450031757355;
2;21.268;1635804413.5628853;3725.639566421509;
1;21.351;1635804414.290277;3726.366958141327;
2;21.275;1635804414.885431;3726.9621121883392;
1;21.342;1635804415.5945394;3727.6712205410004;
2;21.259;1635804416.196086;3728.2727670669556;
1;21.351;1635804416.970593;3729.0472741127014;
2;21.24;1635804417.5653524;3729.6420335769653;
1;21.342;1635804418.279328;3730.356009244919;
2;21.257;1635804418.8823388;3730.9590198993683;
1;21.341;1635804419.5963;3731.6729810237885;
2;21.283;1635804420.1891644;3732.2658455371857;
1;21.339;1635804420.8994482;3732.9761292934418;
